原始词,读音（汉字）,读音（拼音）,首字音重复数量,首字音重复词汇列表
牙膏,牙膏,ya2gao1,2,"牙膏, 牙签"
银行,银,yin2,1,
姨,姨,yi2,3,"姨夫, 仪器, 姨"
杨戬,杨戬,yang2jian3,2,"洋葱, 杨戬"
元康,元康,yuan2kang1,2,"元宝, 元康"
月亮,月,yue4,1,
玉米,玉,yu4,1,
渔女,渔女,yu2nv3,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
悠,悠,you1,2,"优盘, 悠"
硬盘,硬盘,ying4pan2,2,"硬币, 硬盘"
牙签,牙签,ya2qian1,2,"牙膏, 牙签"
鱼肉,鱼肉,yu2rou4,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
钥匙,钥,yao4,1,
油条,油,you2,1,
渔网,渔网,yu2wang3,5,"鱼竿, 渔夫, 渔女, 鱼肉, 渔网"
音箱,音,yin1,1,
柚子,柚,you4,1,
藏獒,藏,zang4,1,
砧板,砧板,zhen1ban3,2,"砧板, 甄姬"
纸抽,纸抽,zhi3chou1,2,"纸抽, 指南"
子弹,子弹,zidan4,2,"子弹, 籽"
泽,泽,ze2,1,
张飞,张飞,zhang1fei1,3,"张飞, 张浩, 张伟"
诸葛,诸,zhu1,1,
张浩,张浩,zhang1hao4,3,"张飞, 张浩, 张伟"
籽,籽,zi3,2,"子弹, 籽"
甄姬,甄姬,zhen1ji1,2,"砧板, 甄姬"
钟馗,钟馗,zhong1kui2,2,"钟馗, 中秋"
栅栏,栅,zha4,1,
芝麻,芝,zhi1,1,
指南,指南,zhi3nan2,2,"纸抽, 指南"
帐篷,帐,zhang4,1,
中秋,中秋,zhong1qiu1,2,"钟馗, 中秋"
孜然,孜,zi1,1,
钻石,钻石,zuan1shi2,2,"钻戒, 钻石"
枕头,枕,zhen3,1,
张伟,张伟,zhang1wei3,3,"张飞, 张浩, 张伟"
自行,自,zi4,1,
赵云,赵,zhao4,1,
